game_id,pair_id,pair_index,game_index,agent_a,agent_b,agent0,agent1,seed,status,error,elapsed_seconds,winner,winner_name,turns,max_turns_reached,disqualified_player,remaining_walls_0,remaining_walls_1,initial_path_0,initial_path_1,final_path_0,final_path_1,final_path_delta_0,final_path_delta_1,final_diversity_0,final_diversity_1,min_diversity_0,min_diversity_1,move_actions_0,move_actions_1,wall_actions_0,wall_actions_1,trap_events_0,trap_events_1
target-0002-0018,rollout_poison__vs__mcts_5,2,18,rollout_poison,mcts_5,rollout_poison,mcts_5,200018,ok,,3.108063,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,2,0,1,7,10,4,0,0,0
target-0002-0014,rollout_poison__vs__mcts_5,2,14,rollout_poison,mcts_5,rollout_poison,mcts_5,200014,ok,,6.623550,0,rollout_poison,31,False,,2,10,8,8,0,15,-8,7,0,1,0,1,8,15,8,0,1,0
target-0003-0000,counter_trap__vs__mcts_5,3,0,counter_trap,mcts_5,counter_trap,mcts_5,300000,ok,,0.738572,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0002-0016,rollout_poison__vs__mcts_5,2,16,rollout_poison,mcts_5,rollout_poison,mcts_5,200016,ok,,5.646312,0,rollout_poison,33,False,,0,10,8,8,0,18,-8,10,0,1,0,1,7,16,10,0,0,0
target-0002-0019,rollout_poison__vs__mcts_5,2,19,rollout_poison,mcts_5,mcts_5,rollout_poison,200019,ok,,5.003478,1,rollout_poison,64,False,,4,0,8,8,5,0,-3,-8,1,0,1,0,26,22,6,10,1,1
target-0003-0003,counter_trap__vs__mcts_5,3,3,counter_trap,mcts_5,mcts_5,counter_trap,300003,ok,,3.858118,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0001,counter_trap__vs__mcts_5,3,1,counter_trap,mcts_5,mcts_5,counter_trap,300001,ok,,4.472544,1,counter_trap,32,False,,10,1,8,8,18,0,10,-8,2,0,1,0,16,7,0,9,0,0
target-0003-0002,counter_trap__vs__mcts_5,3,2,counter_trap,mcts_5,counter_trap,mcts_5,300002,ok,,4.305565,0,counter_trap,31,False,,2,10,8,8,0,11,-8,3,0,1,0,1,8,15,8,0,1,0
target-0003-0004,counter_trap__vs__mcts_5,3,4,counter_trap,mcts_5,counter_trap,mcts_5,300004,ok,,2.493821,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0008,counter_trap__vs__mcts_5,3,8,counter_trap,mcts_5,counter_trap,mcts_5,300008,ok,,3.222429,0,counter_trap,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0003-0007,counter_trap__vs__mcts_5,3,7,counter_trap,mcts_5,mcts_5,counter_trap,300007,ok,,4.293408,1,counter_trap,24,False,,10,5,8,8,10,0,2,-8,1,0,1,0,12,7,0,5,0,0
target-0003-0005,counter_trap__vs__mcts_5,3,5,counter_trap,mcts_5,mcts_5,counter_trap,300005,ok,,5.050566,0,mcts_5,77,False,,6,0,8,8,0,7,-8,-1,0,1,0,1,35,28,4,10,0,0
target-0003-0006,counter_trap__vs__mcts_5,3,6,counter_trap,mcts_5,counter_trap,mcts_5,300006,ok,,5.360364,0,counter_trap,43,False,,0,8,8,8,0,17,-8,9,0,1,0,1,12,19,10,2,0,0
target-0003-0009,counter_trap__vs__mcts_5,3,9,counter_trap,mcts_5,mcts_5,counter_trap,300009,ok,,2.226401,1,counter_trap,24,False,,10,5,8,8,10,0,2,-8,1,0,1,0,12,7,0,5,0,0
target-0003-0011,counter_trap__vs__mcts_5,3,11,counter_trap,mcts_5,mcts_5,counter_trap,300011,ok,,1.096073,1,counter_trap,24,False,,10,5,8,8,10,0,2,-8,1,0,1,0,12,7,0,5,0,0
target-0003-0010,counter_trap__vs__mcts_5,3,10,counter_trap,mcts_5,counter_trap,mcts_5,300010,ok,,1.871554,0,counter_trap,17,False,,8,10,8,8,0,3,-8,-5,0,1,0,1,7,8,2,0,0,0
target-0003-0013,counter_trap__vs__mcts_5,3,13,counter_trap,mcts_5,mcts_5,counter_trap,300013,ok,,1.081706,1,counter_trap,24,False,,10,5,8,8,10,0,2,-8,2,0,1,0,12,7,0,5,0,0
target-0003-0016,counter_trap__vs__mcts_5,3,16,counter_trap,mcts_5,counter_trap,mcts_5,300016,ok,,1.341781,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0015,counter_trap__vs__mcts_5,3,15,counter_trap,mcts_5,mcts_5,counter_trap,300015,ok,,2.942239,1,counter_trap,46,False,,7,0,8,8,17,0,9,-8,1,0,1,0,20,13,3,10,0,0
target-0003-0012,counter_trap__vs__mcts_5,3,12,counter_trap,mcts_5,counter_trap,mcts_5,300012,ok,,4.517254,0,counter_trap,33,False,,0,10,8,8,0,21,-8,13,0,1,0,1,7,16,10,0,2,0
target-0003-0017,counter_trap__vs__mcts_5,3,17,counter_trap,mcts_5,mcts_5,counter_trap,300017,ok,,1.930139,1,counter_trap,24,False,,10,5,8,8,10,0,2,-8,1,0,1,0,12,7,0,5,0,0
target-0003-0018,counter_trap__vs__mcts_5,3,18,counter_trap,mcts_5,counter_trap,mcts_5,300018,ok,,1.034745,0,counter_trap,17,False,,8,10,8,8,0,3,-8,-5,0,1,0,1,7,8,2,0,0,0
target-0003-0014,counter_trap__vs__mcts_5,3,14,counter_trap,mcts_5,counter_trap,mcts_5,300014,ok,,5.696955,0,counter_trap,35,False,,0,10,8,8,0,18,-8,10,0,2,0,1,8,17,10,0,1,0
target-0003-0019,counter_trap__vs__mcts_5,3,19,counter_trap,mcts_5,mcts_5,counter_trap,300019,ok,,4.075252,1,counter_trap,32,False,,10,1,8,8,16,0,8,-8,1,0,1,0,16,7,0,9,0,1
target-0004-0000,argmax_q_trap__vs__q_learning,4,0,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400000,ok,,7.688026,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0002,argmax_q_trap__vs__q_learning,4,2,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400002,ok,,7.493301,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
target-0004-0004,argmax_q_trap__vs__q_learning,4,4,argmax_q_trap,q_learning,argmax_q_trap,q_learning,400004,ok,,1.718612,0,argmax_q_trap,39,False,,2,7,8,8,0,15,-8,7,0,1,0,1,12,16,8,3,1,0
